,number,title,subtitle,authors,publisher,published_date,category,distribution_expense
1,9783319688374,Essentials of Business Analytics,An Introduction to the Methodology and its Applications,"Bhimasankaram Pochiraju, Sridhar Seshadri",Springer,2019-10-07,Business Analytics,4.55
2,9781466596092,Business Analytics,An Introduction,Jay Liebowitz,CRC Press,2013-12-19,Business Analytics,5.6
3,1292017430,Key Business Analytics,The 60+ Business Analysis Tools Every Manager Needs to Know,Bernard Marr,FT Press,2016-01-18,Business Analytics,4.22
4,9781119298588,Business Analytics for Managers,Taking Business Intelligence Beyond Reporting,"Gert H. N. Laursen, Jesper Thorlund",John Wiley & Sons,2016-07-11,Business Analytics,3.19
5,9781118572153,Data Mining and Business Analytics with R,,Johannes Ledolter,John Wiley & Sons,2013-05-28,Business Analytics,6.9
6,71807594,A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,,Randy Bartlett,McGraw-Hill Education,2013-05-02,Business Analytics,7.3
7,9783030870232,Business Analytics,Data Science for Business Problems,Walter R. Paczkowski,Springer Nature,2022-03-01,Business Analytics,4.55
8,9781484210017,Learn Business Analytics in Six Steps Using SAS and R,"A Practical, Step-by-Step Guide to Learning Business Analytics",Subhashini Sharma Tripathi,Apress,2016-12-19,Business Analytics,5.6
9,9781337225274,Business Analytics: Data Analysis & Decision Making,,"S. Christian Albright, Wayne L. Winston",Cengage Learning,2016-03-31,Business Analytics,4.22
10,1461404053,Business Analytics for Managers,,Wolfgang Jank,Springer,2011-10-08,Business Analytics,3.19
11,9781461443421,R for Business Analytics,,A Ohri,Springer Science & Business Media,2012-09-14,Business Analytics,6.9
12,9781119549840,Data Mining for Business Analytics,"Concepts, Techniques and Applications in Python","Galit Shmueli, Peter C. Bruce, Peter Gedeck, Nitin R. Patel",John Wiley & Sons,2019-05-11,Business Analytics,7.3
13,9781352007251,Business Analytics,A Management Approach,"Richard Vidgen, Sam Kirshner, Felix Tan",Red Globe Press,2019-09-10,Business Analytics,4.55
14,9781484205990,Interview Questions in Business Analytics,,Bhasker Gupta,Apress,2016-04-08,Business Analytics,5.6
15,9781484200438,Practical Business Analytics Using SAS,A Hands-on Guide,"Shailendra Kadre, Venkat Reddy Konasani",Apress,2015-07-02,Business Analytics,4.22
16,1133629601,Business Analytics: Data Analysis & Decision Making,,"S. Christian Albright, Wayne L. Winston",Cengage Learning,2014-02-28,Business Analytics,3.19
17,1484225139,Business Analytics Using R - A Practical Approach,,"Umesh Hodeghatta Rao, Umesh Nayak",Apress,2017-05-02,Business Analytics,6.9
18,9789082017939,An Introduction to Business Analytics,,Ger Koole,Lulu.com,2019-03-13,Business Analytics,7.3
19,9781461460800,Business Analytics,A Practitioner’s Guide,"Rahul Saxena, Anand Srinivasan",Springer Science & Business Media,2012-05-12,Business Analytics,4.55
20,9781118729274,Data Mining for Business Analytics,"Concepts, Techniques, and Applications with XLMiner","Galit Shmueli, Peter C. Bruce, Nitin R. Patel",John Wiley & Sons,2016-04-18,Business Analytics,5.6
21,1305627733,Essentials of Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,2016-03-24,Business Analytics,4.22
22,9781119286554,Profit Driven Business Analytics,A Practitioner's Guide to Transforming Big Data into Added Value,"Wouter Verbeke, Bart Baesens, Cristian Bravo",John Wiley & Sons,2017-09-10,Business Analytics,3.19
23,9780071807609,A PRACTITIONER'S GUIDE TO BUSINESS ANALYTICS: Using Data Analysis Tools to Improve Your Organization’s Decision Making and Strategy,,Randy Bartlett,McGraw Hill Professional,2013-01-25,Business Analytics,6.9
24,9781118417089,Win with Advanced Business Analytics,Creating Business Value from Your Data,"Jean-Paul Isson, Jesse Harriott",John Wiley & Sons,2012-09-25,Business Analytics,7.3
25,9781439890707,Computational Business Analytics,,Subrata Das,CRC Press,2013-12-14,Business Analytics,4.55
26,1337406422,Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,2018-08-03,Business Analytics,5.6
27,9780133552249,"Business Analytics Principles, Concepts, and Applications","What, Why, and How","Marc J. Schniederjans, Dara G. Schniederjans, Christopher M. Starkey",Pearson Education,2014-04-23,Business Analytics,4.22
28,9780470000000,Business Analytics for Managers,Taking Business Intelligence Beyond Reporting,"Gert Laursen, Jesper Thorlund",John Wiley & Sons,2010-07-13,Business Analytics,3.19
29,9781650000000,A Primer on Business Analytics,Perspectives from the Financial Services Industry,Yudhvir Seetharam,IAP,2022-01-01,Business Analytics,6.9
30,9781120000000,Machine Learning for Business Analytics,"Concepts, Techniques and Applications in RapidMiner","Galit Shmueli, Peter C. Bruce, Amit V. Deokar, Nitin R. Patel",John Wiley & Sons,2023-03-14,Business Analytics,7.3
31,9780130000000,Applied Business Analytics,"Integrating Business Process, Big Data, and Advanced Analytics",Nathaniel Lin,FT Press,2014-12-12,Business Analytics,4.55
32,9781320000000,Business Analytics,,Dinabandhu Bag,Routledge,2016-10-11,Business Analytics,5.6
33,9781480000000,RapidMiner,Data Mining Use Cases and Business Analytics Applications,"Markus Hofmann, Ralf Klinkenberg",CRC Press,2013-10-25,Business Analytics,4.22
34,9781120000000,Predictive Business Analytics,Forward Looking Capabilities to Improve Business Performance,"Lawrence Maisel, Gary Cokins",John Wiley & Sons,2013-09-26,Business Analytics,3.19
35,9781440000000,Getting Started with Business Analytics,Insightful Decision-Making,"David Roi Hardoon, Galit Shmueli",CRC Press,2013-03-26,Business Analytics,6.9
36,3319358405,Advanced Business Analytics,,"Fausto Pedro García Márquez, Benjamin Lev",Springer,2016-06-10,Business Analytics,7.3
37,9781340000000,Essentials of Business Analytics,,"Jeffrey D. Camm, James J. Cochran, Michael J. Fry, Jeffrey W. Ohlmann, David R. Anderson",Cengage Learning,2016-03-24,Business Analytics,4.55
38,9780130000000,Business Analytics with Management Science Models and Methods,,Arben Asllani,FT Press,2014-11-17,Business Analytics,5.6
39,321997824,Business Analytics,"Methods, Models, and Decisions",James R. Evans,Pearson College Division,2014-12-30,Business Analytics,4.22
40,9781320000000,Sport Business Analytics,Using Data to Increase Revenue and Improve Operational Efficiency,"C. Keith Harrison, Scott Bukstein",CRC Press,2016-11-18,Business Analytics,3.19
41,9353287103,Business Analytics,Text and Cases,"Tanushri Banerjee, Arindam Banerjee",SAGE Publications Pvt. Limited,2019-12-15,Business Analytics,6.9
42,9781120000000,The Value of Business Analytics,Identifying the Path to Profitability,Evan Stubbs,John Wiley & Sons,2011-07-26,Business Analytics,7.3
